seqname,samplename,species,seq,birdname,bandnumber,runname,overallrunname,collectiondate,time,area,site,microsite,sex,age,weight,freshness ,size_of_sample,urine,coccidiosis,captive,collector,ethanol?,captivity,coccidiosis_data
AG0320-121,RAIN4,kiwi,kiwi121,Lahar,W.X1C,34,121,43582,,National Kiwi Hatchery,Rumpus-NKH,brooder bed box,NA,NA,565,fresh,,,TRUE,TRUE,,yes,captive,positive
AG0320-122,RAIN22,kiwi,kiwi122,Bennett,Mt.Chr6,35,122,43586,,National Kiwi Hatchery,Crash Palace,bed box,NA,NA,1119,fresh,,,TRUE,TRUE,,yes,captive,positive
AG0320-123,SAMPLE2,kiwi,kiwi123,,,36,123,43591,,Otorohanga Kiwi House,nocturnal house,,NA,,,,,,NA,TRUE,,yes,captive,unavailable
AG0320-124,RESCUE,kiwi,kiwi124,,,37,124,43529,,Otorohanga Kiwi House,,,NA,120,850,unknown,,,NA,TRUE,,yes,captive,unavailable
AG0320-125,SAMPLE1A,kiwi,kiwi125,,,38,125,43590,,Otorohanga Kiwi House,nocturnal house,,NA,545,,,,,NA,TRUE,,yes,captive,unavailable
AG0320-126,NC,control,PL2DNANC,,,39,126,,,,,,,,,,,,,FALSE,,no,captive,unavailable
AG0320-127,NC,control,PL2PCR1NC,,,40,127,,,,,,,,,,,,,FALSE,,no,captive,unavailable
AG0320-128,,flower,nec1,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-129,,flower,nec2,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-130,,flower,nec3,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-131,,flower,nec4,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-132,,flower,nec5,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-133,,flower,nec6,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-134,,flower,nec7,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-135,,flower,nec8,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-136,,flower,nec9,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-137,,flower,nec10,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-138,,flower,nec11,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-139,,flower,nec12,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-140,,flower,nec13,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-141,,flower,nec14,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-142,,flower,nec15,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-143,,flower,nec16,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-144,,flower,nec17,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-145,,flower,nec18,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-146,,flower,nec19,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-147,,flower,nec20,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-148,,flower,nec21,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-149,,flower,nec22,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-150,,flower,nec23,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-151,,flower,nec24,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-152,,flower,nec25,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-153,,flower,nec26,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-154,,flower,nec27,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-155,,flower,nec28,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-156,,flower,nec29,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-157,,flower,nec30,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-158,,flower,nec31,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-159,,flower,nec32,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-160,,flower,nec33,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-161,,flower,nec34,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-162,,flower,nec35,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-163,,flower,nec36,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-164,,flower,nec37,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-165,,flower,nec38,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-166,,flower,nec39,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-167,,flower,nec40,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-168,,flower,nec41,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-169,,flower,nec42,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-170,,flower,nec43,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-171,,flower,nec44,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-172,,flower,nec45,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-173,,flower,nec46,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-174,,flower,nec47,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-175,,flower,nec48,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-176,,flower,nec49,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-177,,flower,nec50,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-178,,flower,nec51,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-179,,flower,nec52,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-180,,flower,nec53,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-181,,flower,nec54,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-182,,flower,nec55,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
